question,intent
Analyze the bottom states.,bottom_states
Show the lowest sales region,worst_region
Analyze the inactive customers.,bottom_customers
Plot category performance.,sales_by_category
Provide overall highest spending customers,top_customers
Give me subcategory wise sales.,sales_by_subcategory
Find overall sales across categories,sales_by_category
Could you list the most valuable customers?,top_customers
Display complete average business sales.,average_sales
Can you create the inventory overview?,inventory_summary
I'd like to know the delivery performance.,shipping_analysis
Reveal least valuable customers.,bottom_customers
Plot business overview.,dashboard_summary
Find the highest profit product.,highest_profit_product
Analyze the year wise sales,yearly_sales
Generate city performance.,bottom_cities
I'd like the profit average.,average_profit
Can you display shipping performance?,shipping_analysis
Give detailed top cities.,top_cities
What is the total customer orders?,order_count
Reveal bottom states.,bottom_states
Show complete subcategory sales,sales_by_subcategory
Compute overall average income,average_sales
Summarize segment performance.,sales_by_segment
Kindly provide the overall customers.,customer_count
Review category profit performance.,category_profit
Reveal the growth in profit.,profit_growth
Analyze complete category sales,sales_by_category
Display complete subcategory sales,sales_by_subcategory
Present average sales amount.,average_sales
Show overall lowest spending customers,bottom_customers
Compute net profit,total_profit
Give complete profit by category.,category_profit
View total quantity.,quantity_analysis
How much is region profit performance?,region_profit
Display all total revenue,total_sales
Display the sales across subcategories,sales_by_subcategory
I want earnings growth.,profit_growth
Reveal all worst sales region,worst_region
How much is the best cities?,top_cities
Provide detailed mean sales.,average_sales
Analyze region profit performance.,region_profit
Tell me top states.,top_states
Generate a report for average sales.,average_sales
I need the year wise profit.,yearly_profit
Kindly provide the highest performing region.,best_region
Can you display discount percentage?,discount_analysis
Kindly provide the average business sales.,average_sales
Explain average business sales.,average_sales
Can you find the most valuable customers?,top_customers
Please analyze region profit performance.,region_profit
Can you display the sales by month?,monthly_sales
Kindly show the most profitable product.,highest_profit_product
Reveal executive summary.,dashboard_summary
Please calculate the category profit performance.,category_profit
How much is executive summary?,dashboard_summary
Calculate complete earnings growth,profit_growth
Find sales growth,sales_growth
Kindly calculate the total quantity.,quantity_analysis
Provide the grand total profit,total_profit
Show me the top selling cities.,top_cities
Can you provide the monthly revenue?,monthly_sales
Reveal overall profit across categories,category_profit
I'd like the top profit product.,highest_profit_product
Can I see average discount?,discount_analysis
Reveal bottom states,bottom_states
Please calculate discount percentage.,discount_analysis
Identify the top region,best_region
Give complete worst performing states.,bottom_states
Reveal overall subcategory performance,sales_by_subcategory
Find complete worst products,bottom_products
I need overall discount.,discount_analysis
I'd like the monthly business profit.,monthly_profit
Kindly show the average turnover.,average_sales
Display overall least profitable states,bottom_states
I want the least profitable states.,bottom_states
Summarize the dashboard summary.,dashboard_summary
Find overall net profit,total_profit
Please generate inventory summary.,inventory_summary
Show me the sales average.,average_sales
Inspect profit by year.,yearly_profit
Please compare sales across categories.,sales_by_category
Show insights for worst profit product.,lowest_profit_product
Give complete stock overview,inventory_summary
I'd like the highest performing region.,best_region
Reveal the average business profit.,average_profit
Can I see the order count?,order_count
Kindly tell me the mean profit.,average_profit
Give detailed top selling states.,top_states
Give all inventory summary,inventory_summary
Reveal complete top 10 customers,top_customers
Tell me the sales across subcategories.,sales_by_subcategory
Provide complete worst performing states,bottom_states
Can you give profit average?,average_profit
Can you provide the shipping analysis?,shipping_analysis
Provide category performance.,sales_by_category
Summarize top cities.,top_cities
How much is the sales by category?,sales_by_category
Find the most valuable customers.,top_customers
Present top cities.,top_cities
Provide executive summary.,dashboard_summary
Display all average turnover,average_sales
Summarize highest sales cities.,top_cities
View the mean profit.,average_profit
What is the shipping mode?,shipping_analysis
Please calculate segment wise sales.,sales_by_segment
Show the regional profit,region_profit
View complete average income,average_sales
Can you find profit by region?,region_profit
Give complete company profit.,total_profit
Display latest top customers.,top_customers
Analyze all sales by segment,sales_by_segment
Can you provide the most profitable product?,highest_profit_product
I need the sales trend.,sales_growth
Analyze the profit growth.,profit_growth
Fetch the number of orders.,order_count
Display overall growth in profit,profit_growth
Fetch monthly sales.,monthly_sales
Display product quantities.,quantity_analysis
Find worst products.,bottom_products
I want dashboard summary.,dashboard_summary
Can you find category profit?,category_profit
Show complete profit average.,average_profit
Find all best customers,top_customers
Compare all sales by subcategory,sales_by_subcategory
Could you give the sales by category?,sales_by_category
Give detailed segment wise sales.,sales_by_segment
Can you find total customer orders?,order_count
Create a report for average revenue.,average_sales
Please analyze profit increase.,profit_growth
Can you find the bottom 10 products?,bottom_products
Can you show month wise profit?,monthly_profit
Can you compare category wise profit?,category_profit
Please calculate the most valuable customers.,top_customers
Calculate all registered customers,customer_count
Could you display the monthly business sales?,monthly_sales
Analyze all segment sales,sales_by_segment
Can you display lowest earning product?,lowest_profit_product
I would like best performing states.,top_states
Tell me regional profit.,region_profit
Show number of customers,customer_count
Can you show subcategory performance?,sales_by_subcategory
Provide detailed best customers.,top_customers
Fetch the sales across subcategories.,sales_by_subcategory
Provide the most valuable customers.,top_customers
Provide the best cities.,top_cities
Give me registered customers.,customer_count
Display the best sales region.,best_region
How much is shipping mode?,shipping_analysis
Provide lowest performing region.,worst_region
Give detailed average net profit.,average_profit
What is business overview?,dashboard_summary
Could you provide the monthly earnings?,monthly_profit
What is sales by month?,monthly_sales
Please display sales by subcategory.,sales_by_subcategory
Reveal complete average income,average_sales
Display all ship mode analysis,shipping_analysis
Reveal the dashboard summary.,dashboard_summary
Provide number of orders.,order_count
How much is the business growth?,sales_growth
Summarize the profit by year.,yearly_profit
Give overall lowest selling products,bottom_products
Calculate complete yearly profit,yearly_profit
Can you provide the lowest sales region?,worst_region
Generate the overall customers.,customer_count
Find overall sales.,total_sales
Can you analyze the region profit performance?,region_profit
Show me the profit by year.,yearly_profit
Can you find the grand total profit?,total_profit
Fetch the stock summary.,inventory_summary
Reveal all year wise sales,yearly_sales
Display complete average income.,average_profit
Please display customer count.,customer_count
Please create executive summary.,dashboard_summary
I'd like to know the overall revenue.,total_sales
Find sales by category.,sales_by_category
Reveal the delivery performance.,shipping_analysis
Please reveal average gross profit.,average_profit
Could you reveal the top customers?,top_customers
Can you list highest spending customers?,top_customers
Can you compare the sales by subcategory?,sales_by_subcategory
Generate the monthly sales.,monthly_sales
Tell me all average gross profit,average_profit
Please display the lowest sales states.,bottom_states
Kindly provide the sales increase.,sales_growth
Can you give stock overview?,inventory_summary
I need the annual revenue.,yearly_sales
Explain the discount percentage.,discount_analysis
Calculate annual profit,yearly_profit
Analyze performance of shipping mode.,shipping_analysis
Please display region profit performance.,region_profit
Analyze performance of sales trend.,sales_growth
Provide all highest sales cities,top_cities
Please give sales for each category.,sales_by_category
Kindly show the lowest profit product.,lowest_profit_product
Give detailed total quantity.,quantity_analysis
Can you provide the monthly earnings?,monthly_profit
Tell me region profit performance.,region_profit
Kindly show the region wise profit.,region_profit
I'd like to know the bottom 10 products.,bottom_products
Provide complete mean profit,average_profit
Can you analyze the sales trend?,sales_growth
