question,intent,clean_question
Analyze the bottom states.,bottom_states,analyze the bottom states
Show the lowest sales region,worst_region,show the lowest sales region
Analyze the inactive customers.,bottom_customers,analyze the inactive customers
Plot category performance.,sales_by_category,plot category performance
Provide overall highest spending customers,top_customers,provide overall highest spending customers
Give me subcategory wise sales.,sales_by_subcategory,give me subcategory wise sales
Find overall sales across categories,sales_by_category,find overall sales across categories
Could you list the most valuable customers?,top_customers,could you list the most valuable customers
Display complete average business sales.,average_sales,display complete average business sales
Can you create the inventory overview?,inventory_summary,can you create the inventory overview
I'd like to know the delivery performance.,shipping_analysis,id like to know the delivery performance
Reveal least valuable customers.,bottom_customers,reveal least valuable customers
Plot business overview.,dashboard_summary,plot business overview
Find the highest profit product.,highest_profit_product,find the highest profit product
Analyze the year wise sales,yearly_sales,analyze the year wise sales
Generate city performance.,bottom_cities,generate city performance
I'd like the profit average.,average_profit,id like the profit average
Can you display shipping performance?,shipping_analysis,can you display shipping performance
Give detailed top cities.,top_cities,give detailed top cities
What is the total customer orders?,order_count,what is the total customer orders
Reveal bottom states.,bottom_states,reveal bottom states
Show complete subcategory sales,sales_by_subcategory,show complete subcategory sales
Compute overall average income,average_sales,compute overall average income
Summarize segment performance.,sales_by_segment,summarize segment performance
Kindly provide the overall customers.,customer_count,kindly provide the overall customers
Review category profit performance.,category_profit,review category profit performance
Reveal the growth in profit.,profit_growth,reveal the growth in profit
Analyze complete category sales,sales_by_category,analyze complete category sales
Display complete subcategory sales,sales_by_subcategory,display complete subcategory sales
Present average sales amount.,average_sales,present average sales amount
Show overall lowest spending customers,bottom_customers,show overall lowest spending customers
Compute net profit,total_profit,compute net profit
Give complete profit by category.,category_profit,give complete profit by category
View total quantity.,quantity_analysis,view total quantity
How much is region profit performance?,region_profit,how much is region profit performance
Display all total revenue,total_sales,display all total revenue
Display the sales across subcategories,sales_by_subcategory,display the sales across subcategories
I want earnings growth.,profit_growth,i want earnings growth
Reveal all worst sales region,worst_region,reveal all worst sales region
How much is the best cities?,top_cities,how much is the best cities
Provide detailed mean sales.,average_sales,provide detailed mean sales
Analyze region profit performance.,region_profit,analyze region profit performance
Tell me top states.,top_states,tell me top states
Generate a report for average sales.,average_sales,generate a report for average sales
I need the year wise profit.,yearly_profit,i need the year wise profit
Kindly provide the highest performing region.,best_region,kindly provide the highest performing region
Can you display discount percentage?,discount_analysis,can you display discount percentage
Kindly provide the average business sales.,average_sales,kindly provide the average business sales
Explain average business sales.,average_sales,explain average business sales
Can you find the most valuable customers?,top_customers,can you find the most valuable customers
Please analyze region profit performance.,region_profit,please analyze region profit performance
Can you display the sales by month?,monthly_sales,can you display the sales by month
Kindly show the most profitable product.,highest_profit_product,kindly show the most profitable product
Reveal executive summary.,dashboard_summary,reveal executive summary
Please calculate the category profit performance.,category_profit,please calculate the category profit performance
How much is executive summary?,dashboard_summary,how much is executive summary
Calculate complete earnings growth,profit_growth,calculate complete earnings growth
Find sales growth,sales_growth,find sales growth
Kindly calculate the total quantity.,quantity_analysis,kindly calculate the total quantity
Provide the grand total profit,total_profit,provide the grand total profit
Show me the top selling cities.,top_cities,show me the top selling cities
Can you provide the monthly revenue?,monthly_sales,can you provide the monthly revenue
Reveal overall profit across categories,category_profit,reveal overall profit across categories
I'd like the top profit product.,highest_profit_product,id like the top profit product
Can I see average discount?,discount_analysis,can i see average discount
Reveal bottom states,bottom_states,reveal bottom states
Please calculate discount percentage.,discount_analysis,please calculate discount percentage
Identify the top region,best_region,identify the top region
Give complete worst performing states.,bottom_states,give complete worst performing states
Reveal overall subcategory performance,sales_by_subcategory,reveal overall subcategory performance
Find complete worst products,bottom_products,find complete worst products
I need overall discount.,discount_analysis,i need overall discount
I'd like the monthly business profit.,monthly_profit,id like the monthly business profit
Kindly show the average turnover.,average_sales,kindly show the average turnover
Display overall least profitable states,bottom_states,display overall least profitable states
I want the least profitable states.,bottom_states,i want the least profitable states
Summarize the dashboard summary.,dashboard_summary,summarize the dashboard summary
Find overall net profit,total_profit,find overall net profit
Please generate inventory summary.,inventory_summary,please generate inventory summary
Show me the sales average.,average_sales,show me the sales average
Inspect profit by year.,yearly_profit,inspect profit by year
Please compare sales across categories.,sales_by_category,please compare sales across categories
Show insights for worst profit product.,lowest_profit_product,show insights for worst profit product
Give complete stock overview,inventory_summary,give complete stock overview
I'd like the highest performing region.,best_region,id like the highest performing region
Reveal the average business profit.,average_profit,reveal the average business profit
Can I see the order count?,order_count,can i see the order count
Kindly tell me the mean profit.,average_profit,kindly tell me the mean profit
Give detailed top selling states.,top_states,give detailed top selling states
Give all inventory summary,inventory_summary,give all inventory summary
Reveal complete top 10 customers,top_customers,reveal complete top 10 customers
Tell me the sales across subcategories.,sales_by_subcategory,tell me the sales across subcategories
Provide complete worst performing states,bottom_states,provide complete worst performing states
Can you give profit average?,average_profit,can you give profit average
Can you provide the shipping analysis?,shipping_analysis,can you provide the shipping analysis
