question,intent,clean_question,label
Analyze the bottom states.,bottom_states,analyze the bottom states,6
Show the lowest sales region,worst_region,show the lowest sales region,30
Analyze the inactive customers.,bottom_customers,analyze the inactive customers,4
Plot category performance.,sales_by_category,plot category performance,20
Provide overall highest spending customers,top_customers,provide overall highest spending customers,26
Give me subcategory wise sales.,sales_by_subcategory,give me subcategory wise sales,22
Find overall sales across categories,sales_by_category,find overall sales across categories,20
Could you list the most valuable customers?,top_customers,could you list the most valuable customers,26
Display complete average business sales.,average_sales,display complete average business sales,1
Can you create the inventory overview?,inventory_summary,can you create the inventory overview,12
I'd like to know the delivery performance.,shipping_analysis,id like to know the delivery performance,24
Reveal least valuable customers.,bottom_customers,reveal least valuable customers,4
Plot business overview.,dashboard_summary,plot business overview,9
Find the highest profit product.,highest_profit_product,find the highest profit product,11
Analyze the year wise sales,yearly_sales,analyze the year wise sales,32
Generate city performance.,bottom_cities,generate city performance,3
I'd like the profit average.,average_profit,id like the profit average,0
Can you display shipping performance?,shipping_analysis,can you display shipping performance,24
Give detailed top cities.,top_cities,give detailed top cities,25
What is the total customer orders?,order_count,what is the total customer orders,16
Reveal bottom states.,bottom_states,reveal bottom states,6
Show complete subcategory sales,sales_by_subcategory,show complete subcategory sales,22
Compute overall average income,average_sales,compute overall average income,1
Summarize segment performance.,sales_by_segment,summarize segment performance,21
Kindly provide the overall customers.,customer_count,kindly provide the overall customers,8
Review category profit performance.,category_profit,review category profit performance,7
Reveal the growth in profit.,profit_growth,reveal the growth in profit,17
Analyze complete category sales,sales_by_category,analyze complete category sales,20
Display complete subcategory sales,sales_by_subcategory,display complete subcategory sales,22
Present average sales amount.,average_sales,present average sales amount,1
Show overall lowest spending customers,bottom_customers,show overall lowest spending customers,4
Compute net profit,total_profit,compute net profit,28
Give complete profit by category.,category_profit,give complete profit by category,7
View total quantity.,quantity_analysis,view total quantity,18
How much is region profit performance?,region_profit,how much is region profit performance,19
Display all total revenue,total_sales,display all total revenue,29
Display the sales across subcategories,sales_by_subcategory,display the sales across subcategories,22
I want earnings growth.,profit_growth,i want earnings growth,17
Reveal all worst sales region,worst_region,reveal all worst sales region,30
How much is the best cities?,top_cities,how much is the best cities,25
Provide detailed mean sales.,average_sales,provide detailed mean sales,1
Analyze region profit performance.,region_profit,analyze region profit performance,19
Tell me top states.,top_states,tell me top states,27
Generate a report for average sales.,average_sales,generate a report for average sales,1
I need the year wise profit.,yearly_profit,i need the year wise profit,31
Kindly provide the highest performing region.,best_region,kindly provide the highest performing region,2
Can you display discount percentage?,discount_analysis,can you display discount percentage,10
Kindly provide the average business sales.,average_sales,kindly provide the average business sales,1
Explain average business sales.,average_sales,explain average business sales,1
Can you find the most valuable customers?,top_customers,can you find the most valuable customers,26
Please analyze region profit performance.,region_profit,please analyze region profit performance,19
Can you display the sales by month?,monthly_sales,can you display the sales by month,15
Kindly show the most profitable product.,highest_profit_product,kindly show the most profitable product,11
Reveal executive summary.,dashboard_summary,reveal executive summary,9
Please calculate the category profit performance.,category_profit,please calculate the category profit performance,7
How much is executive summary?,dashboard_summary,how much is executive summary,9
Calculate complete earnings growth,profit_growth,calculate complete earnings growth,17
Find sales growth,sales_growth,find sales growth,23
Kindly calculate the total quantity.,quantity_analysis,kindly calculate the total quantity,18
Provide the grand total profit,total_profit,provide the grand total profit,28
Show me the top selling cities.,top_cities,show me the top selling cities,25
Can you provide the monthly revenue?,monthly_sales,can you provide the monthly revenue,15
Reveal overall profit across categories,category_profit,reveal overall profit across categories,7
I'd like the top profit product.,highest_profit_product,id like the top profit product,11
Can I see average discount?,discount_analysis,can i see average discount,10
Reveal bottom states,bottom_states,reveal bottom states,6
Please calculate discount percentage.,discount_analysis,please calculate discount percentage,10
Identify the top region,best_region,identify the top region,2
Give complete worst performing states.,bottom_states,give complete worst performing states,6
Reveal overall subcategory performance,sales_by_subcategory,reveal overall subcategory performance,22
Find complete worst products,bottom_products,find complete worst products,5
I need overall discount.,discount_analysis,i need overall discount,10
I'd like the monthly business profit.,monthly_profit,id like the monthly business profit,14
Kindly show the average turnover.,average_sales,kindly show the average turnover,1
Display overall least profitable states,bottom_states,display overall least profitable states,6
I want the least profitable states.,bottom_states,i want the least profitable states,6
Summarize the dashboard summary.,dashboard_summary,summarize the dashboard summary,9
Find overall net profit,total_profit,find overall net profit,28
Please generate inventory summary.,inventory_summary,please generate inventory summary,12
Show me the sales average.,average_sales,show me the sales average,1
